Altium Designer Pick and Place Locations
C:\Users\fourn\Altium\AD25\Projects\Arribada\linkit-v4-hw\Project Outputs for linkit-v4-hw\smd-variant\linkit-v4-smd-v1.1\Pick Place\Pick Place for linkit-v4-1.1_6layers_smdonly(linkit-v4-smd-no-charger).txt

========================================================================================================================
File Design Information:

Date:       25/08/26
Time:       11:26
Revision:   bc0e6f40c583a6da6cb302b9005f2782be604716
Variant:    linkit-v4-smd-no-charger
Units used: mil

Designator Comment                     Layer       Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                  
R8         RC0201FR-7D1ML              TopLayer    RESC0603X26N              1899.527      790.000       0        "Thick Film Resistors - SMD General Purpose Chip Resistor 0201, 1MOhms, 5%, 1/16W"                                                           
C48        GRM188R61A226ME15D          TopLayer    GRM18x                    1989.173      822.835       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 22 uF 10 VDC 20% 0603 X5R"                                                                     
C41        GRM188R61A226ME15D          BottomLayer GRM18x                    1124.189      1286.351      0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 22 uF 10 VDC 20% 0603 X5R"                                                                     
C61        GRM188R61A106MAALJ          BottomLayer CAPC1608X90N              1102.362      1078.740      0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 10 uF 10 VDC 20% 0603 X5R"                                                                     
C55        GRM188R61A106MAALJ          TopLayer    CAPC1608X90N              1976.378      1035.433      0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 10 uF 10 VDC 20% 0603 X5R"                                                                     
C53        ""                          TopLayer    GRM18x                    771.379       1153.543      180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 22 uF 10 VDC 20% 0603 X5R"                                                                     
C52        GRM188R61A106MAALJ          TopLayer    CAPC1608X90N              776.300       1092.121      180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 10 uF 10 VDC 20% 0603 X5R"                                                                     
C59        1uF                         BottomLayer CAPC1005X55N              1465.710      307.712       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1.0UF 10V 10% 0402"                                                                            
R48        ERJ-PA2F1003X               TopLayer    ERJPA2_(0402)             688.976       1100.000      180      "Thick Film Resistors - SMD HP02 (0402) 1/5W 1% 100kR T/R-10000"                                                                             
C39        100nF                       TopLayer    CAPC0603X33N              757.796       1055.118      0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT .1UF     16V   10%        0201"                                                                
TP17       TP-SMD-SCL                  BottomLayer TP_simplepad              1296.733      441.790       135      "Test Point, Compact, SMT"                                                                                                                   
TP16       TP-SMD-SDA                  BottomLayer TP_simplepad              1351.183      500.351       270      "Test Point, Compact, SMT"                                                                                                                   
TP15       TP-SMD-RFNRST               BottomLayer TP_simplepad              1007.110      165.919       135      "Test Point, Compact, SMT"                                                                                                                   
TP14       TP-SMD-RFBUSY               BottomLayer TP_simplepad              948.832       109.713       270      "Test Point, Compact, SMT"                                                                                                                   
U13        TPS63901YCJR                BottomLayer BGA12C35P3X4_111X146X35   1103.993      1204.469      180      "Switching Voltage Regulators 5.5-V buck-boost con verter with 75-nA op"                                                                     
